year,revenue,assets,CIK,ticker
2023.0,158104000000,3875393000000,0000019617,JPM-PL
2023.0,158104000000,3875393000000,0000019617,JPM-PM
2023.0,158104000000,3875393000000,0000019617,VYLD
2024.0,177556000000,4002814000000,0000019617,JPM
2024.0,177556000000,4002814000000,0000019617,JPM-PD
2024.0,177556000000,4002814000000,0000019617,JPM-PC
2024.0,177556000000,4002814000000,0000019617,JPM-PJ
2024.0,177556000000,4002814000000,0000019617,AMJB
2024.0,177556000000,4002814000000,0000019617,JPM-PK
2024.0,177556000000,4002814000000,0000019617,JPM-PL
2024.0,177556000000,4002814000000,0000019617,JPM-PM
2024.0,177556000000,4002814000000,0000019617,VYLD
2009.0,6911000000,32281000000,0001403161,V
2010.0,8065000000,33408000000,0001403161,V
2011.0,6911000000,34760000000,0001403161,V
2012.0,10421000000,40013000000,0001403161,V
2013.0,9188000000,40013000000,0001403161,V
2014.0,12702000000,38569000000,0001403161,V
2015.0,13880000000,40236000000,0001403161,V
2016.0,12702000000,64035000000,0001403161,V
2017.0,18358000000,64035000000,0001403161,V
2018.0,20609000000,69225000000,0001403161,V
2019.0,22977000000,72574000000,0001403161,V
2020.0,21846000000,80919000000,0001403161,V
2011.0,467029000000,331052000000,0000034088,XOM
2012.0,453123000000,333795000000,0000034088,XOM
2013.0,420836000000,333795000000,0000034088,XOM
2014.0,451509000000,349493000000,0000034088,XOM
2015.0,259488000000,336758000000,0000034088,XOM
2016.0,218608000000,349493000000,0000034088,XOM
2017.0,237162000000,348691000000,0000034088,XOM
2018.0,237162000000,346196000000,0000034088,XOM
2019.0,264938000000,362597000000,0000034088,XOM
2020.0,181502000000,332750000000,0000034088,XOM
2021.0,285640000000,332750000000,0000034088,XOM
2022.0,285640000000,369067000000,0000034088,XOM
2023.0,344582000000,376317000000,0000034088,XOM
2024.0,349585000000,453475000000,0000034088,XOM
2010.0,26820000000,61578000000,0001341439,ORCL
2011.0,35622000000,73535000000,0001341439,ORCL
2012.0,37121000000,78327000000,0001341439,ORCL
2013.0,35622000000,81812000000,0001341439,ORCL
2014.0,38275000000,90344000000,0001341439,ORCL
2015.0,38226000000,110903000000,0001341439,ORCL
2016.0,37047000000,112180000000,0001341439,ORCL
2017.0,37728000000,112180000000,0001341439,ORCL
2018.0,37728000000,137264000000,0001341439,ORCL
2019.0,39506000000,108709000000,0001341439,ORCL
2020.0,39068000000,115438000000,0001341439,ORCL
2021.0,40479000000,115438000000,0001341439,ORCL
2022.0,42440000000,109297000000,0001341439,ORCL
2023.0,42440000000,134384000000,0001341439,ORCL
2024.0,42440000000,140976000000,0001341439,ORCL
2025.0,57399000000,168361000000,0001341439,ORCL
2009.0,5098684000,7470279000,0001141391,MA
2010.0,1438000000,8837000000,0001141391,MA
2011.0,1308000000,10693000000,0001141391,MA
2012.0,5539000000,12462000000,0001141391,MA
2013.0,6714000000,14242000000,0001141391,MA
2014.0,1906000000,15329000000,0001141391,MA
2018.0,3807000000,24860000000,0001141391,MA
2019.0,12497000000,29236000000,0001141391,MA
2020.0,14950000000,29236000000,0001141391,MA
2021.0,18884000000,37669000000,0001141391,MA
2022.0,18884000000,38724000000,0001141391,MA
2023.0,25098000000,42448000000,0001141391,MA
2024.0,28167000000,48081000000,0001141391,MA
2018.0,8440000000,35336000000,0000723125,MU
2010.0,24125000000,23815000000,0000909832,COST
2011.0,17780000000,26761000000,0000909832,COST
2012.0,32218000000,27140000000,0000909832,COST
2013.0,32487000000,26761000000,0000909832,COST
2014.0,99137000000,33024000000,0000909832,COST
2015.0,26306000000,33440000000,0000909832,COST
2016.0,36560000000,33163000000,0000909832,COST
2017.0,116199000000,36347000000,0000909832,COST
2018.0,141576000000,36347000000,0000909832,COST
2019.0,152703000000,45400000000,0000909832,COST
2020.0,141576000000,55556000000,0000909832,COST
2021.0,195929000000,45400000000,0000909832,COST
2022.0,226954000000,64166000000,0000909832,COST
2023.0,242290000000,68994000000,0000909832,COST
2024.0,254453000000,69831000000,0000909832,COST
2025.0,275235000000,77099000000,0000909832,COST
2015.0,12293000000,41206000000,0001577552,BABA
2015.0,12293000000,41206000000,0001577552,BABAF
2015.0,12293000000,41206000000,0001577552,BBAAY
2016.0,15686000000,56521000000,0001577552,BABA
2016.0,15686000000,56521000000,0001577552,BABAF
2016.0,15686000000,56521000000,0001577552,BBAAY
2017.0,22994000000,73630000000,0001577552,BABA
2017.0,22994000000,73630000000,0001577552,BABAF
2017.0,22994000000,73630000000,0001577552,BBAAY
2018.0,39898000000,114326000000,0001577552,BABA
2018.0,39898000000,114326000000,0001577552,BABAF
2018.0,39898000000,114326000000,0001577552,BBAAY
2019.0,56152000000,143801000000,0001577552,BABA
2019.0,56152000000,143801000000,0001577552,BABAF
2019.0,56152000000,143801000000,0001577552,BBAAY
2020.0,71985000000,185429000000,0001577552,BABA
2020.0,71985000000,185429000000,0001577552,BABAF
2020.0,71985000000,185429000000,0001577552,BBAAY
2021.0,109480000000,257978000000,0001577552,BABA
2021.0,109480000000,257978000000,0001577552,BABAF
2021.0,109480000000,257978000000,0001577552,BBAAY
2022.0,134567000000,267467000000,0001577552,BABA
2022.0,134567000000,267467000000,0001577552,BABAF
2022.0,134567000000,267467000000,0001577552,BBAAY
2023.0,126491000000,255263000000,0001577552,BABA
2023.0,126491000000,255263000000,0001577552,BABAF
2023.0,126491000000,255263000000,0001577552,BBAAY
2024.0,130350000000,244426000000,0001577552,BABA
2024.0,130350000000,244426000000,0001577552,BABAF
2024.0,130350000000,244426000000,0001577552,BBAAY
2025.0,137300000000,248629000000,0001577552,BABA
2025.0,137300000000,248629000000,0001577552,BABAF
2025.0,137300000000,248629000000,0001577552,BBAAY
2018.0,8305000000,70786000000,0001551152,ABBV
2019.0,28216000000,89115000000,0001551152,ABBV
2020.0,13858000000,150565000000,0001551152,ABBV
2021.0,33266000000,146529000000,0001551152,ABBV
2022.0,45804000000,138805000000,0001551152,ABBV
2023.0,14301000000,134711000000,0001551152,ABBV
2024.0,15102000000,135161000000,0001551152,ABBV
2020.0,1092673000,2690504000,0001321655,PLTR
2021.0,1541889000,3247450000,0001321655,PLTR
2022.0,1905871000,3461239000,0001321655,PLTR
2023.0,2225012000,4522425000,0001321655,PLTR
2024.0,2865507000,6340884000,0001321655,PLTR
2009.0,119643000000,2223299000000,0000070858,BAC
2009.0,119643000000,2223299000000,0000070858,BML-PG
2009.0,119643000000,2223299000000,0000070858,BML-PH
2009.0,119643000000,2223299000000,0000070858,BML-PL
2009.0,119643000000,2223299000000,0000070858,BAC-PB
2009.0,119643000000,2223299000000,0000070858,BAC-PK
2009.0,119643000000,2223299000000,0000070858,BML-PJ
2009.0,119643000000,2223299000000,0000070858,BAC-PE
2009.0,119643000000,2223299000000,0000070858,BAC-PL
2009.0,119643000000,2223299000000,0000070858,BAC-PM
2009.0,119643000000,2223299000000,0000070858,MER-PK
2009.0,119643000000,2223299000000,0000070858,BAC-PN
2009.0,119643000000,2223299000000,0000070858,BAC-PO
2009.0,119643000000,2223299000000,0000070858,BAC-PP
2009.0,119643000000,2223299000000,0000070858,BAC-PQ
2009.0,119643000000,2223299000000,0000070858,BAC-PS
2009.0,119643000000,2223299000000,0000070858,BACRP
2010.0,110220000000,2264909000000,0000070858,BAC
2010.0,110220000000,2264909000000,0000070858,BML-PG
2010.0,110220000000,2264909000000,0000070858,BML-PH
2010.0,110220000000,2264909000000,0000070858,BML-PL
2010.0,110220000000,2264909000000,0000070858,BAC-PB
2010.0,110220000000,2264909000000,0000070858,BAC-PK
2010.0,110220000000,2264909000000,0000070858,BML-PJ
2010.0,110220000000,2264909000000,0000070858,BAC-PE
2010.0,110220000000,2264909000000,0000070858,BAC-PL
2010.0,110220000000,2264909000000,0000070858,BAC-PM
2010.0,110220000000,2264909000000,0000070858,MER-PK
2010.0,110220000000,2264909000000,0000070858,BAC-PN
2010.0,110220000000,2264909000000,0000070858,BAC-PO
2010.0,110220000000,2264909000000,0000070858,BAC-PP
2010.0,110220000000,2264909000000,0000070858,BAC-PQ
2010.0,110220000000,2264909000000,0000070858,BAC-PS
2010.0,110220000000,2264909000000,0000070858,BACRP
2011.0,93454000000,2129046000000,0000070858,BAC
2011.0,93454000000,2129046000000,0000070858,BML-PG
2011.0,93454000000,2129046000000,0000070858,BML-PH
2011.0,93454000000,2129046000000,0000070858,BML-PL
2011.0,93454000000,2129046000000,0000070858,BAC-PB
2011.0,93454000000,2129046000000,0000070858,BAC-PK
2011.0,93454000000,2129046000000,0000070858,BML-PJ
2011.0,93454000000,2129046000000,0000070858,BAC-PE
2011.0,93454000000,2129046000000,0000070858,BAC-PL
2011.0,93454000000,2129046000000,0000070858,BAC-PM
2011.0,93454000000,2129046000000,0000070858,MER-PK
2011.0,93454000000,2129046000000,0000070858,BAC-PN
2011.0,93454000000,2129046000000,0000070858,BAC-PO
2011.0,93454000000,2129046000000,0000070858,BAC-PP
2011.0,93454000000,2129046000000,0000070858,BAC-PQ
2011.0,93454000000,2129046000000,0000070858,BAC-PS
2011.0,93454000000,2129046000000,0000070858,BACRP
2012.0,110220000000,2209974000000,0000070858,BAC
2012.0,110220000000,2209974000000,0000070858,BML-PG
2012.0,110220000000,2209974000000,0000070858,BML-PH
2012.0,110220000000,2209974000000,0000070858,BML-PL
2012.0,110220000000,2209974000000,0000070858,BAC-PB
2012.0,110220000000,2209974000000,0000070858,BAC-PK
2012.0,110220000000,2209974000000,0000070858,BML-PJ
2012.0,110220000000,2209974000000,0000070858,BAC-PE
2012.0,110220000000,2209974000000,0000070858,BAC-PL
2012.0,110220000000,2209974000000,0000070858,BAC-PM
2012.0,110220000000,2209974000000,0000070858,MER-PK
2012.0,110220000000,2209974000000,0000070858,BAC-PN
2012.0,110220000000,2209974000000,0000070858,BAC-PO
2012.0,110220000000,2209974000000,0000070858,BAC-PP
2012.0,110220000000,2209974000000,0000070858,BAC-PQ
2012.0,110220000000,2209974000000,0000070858,BAC-PS
2012.0,110220000000,2209974000000,0000070858,BACRP
2013.0,88942000000,2102273000000,0000070858,BAC
2013.0,88942000000,2102273000000,0000070858,BML-PG
2013.0,88942000000,2102273000000,0000070858,BML-PH
2013.0,88942000000,2102273000000,0000070858,BML-PL
2013.0,88942000000,2102273000000,0000070858,BAC-PB
2013.0,88942000000,2102273000000,0000070858,BAC-PK
2013.0,88942000000,2102273000000,0000070858,BML-PJ
2013.0,88942000000,2102273000000,0000070858,BAC-PE
2013.0,88942000000,2102273000000,0000070858,BAC-PL
2013.0,88942000000,2102273000000,0000070858,BAC-PM
2013.0,88942000000,2102273000000,0000070858,MER-PK
2013.0,88942000000,2102273000000,0000070858,BAC-PN
2013.0,88942000000,2102273000000,0000070858,BAC-PO
2013.0,88942000000,2102273000000,0000070858,BAC-PP
2013.0,88942000000,2102273000000,0000070858,BAC-PQ
2013.0,88942000000,2102273000000,0000070858,BAC-PS
2013.0,88942000000,2102273000000,0000070858,BACRP
2014.0,84247000000,2104534000000,0000070858,BAC
2014.0,84247000000,2104534000000,0000070858,BML-PG
2014.0,84247000000,2104534000000,0000070858,BML-PH
2014.0,84247000000,2104534000000,0000070858,BML-PL
2014.0,84247000000,2104534000000,0000070858,BAC-PB
2014.0,84247000000,2104534000000,0000070858,BAC-PK
2014.0,84247000000,2104534000000,0000070858,BML-PJ
2014.0,84247000000,2104534000000,0000070858,BAC-PE
2014.0,84247000000,2104534000000,0000070858,BAC-PL
2014.0,84247000000,2104534000000,0000070858,BAC-PM
2014.0,84247000000,2104534000000,0000070858,MER-PK
2014.0,84247000000,2104534000000,0000070858,BAC-PN
2014.0,84247000000,2104534000000,0000070858,BAC-PO
2014.0,84247000000,2104534000000,0000070858,BAC-PP
2014.0,84247000000,2104534000000,0000070858,BAC-PQ
2014.0,84247000000,2104534000000,0000070858,BAC-PS
2014.0,84247000000,2104534000000,0000070858,BACRP
2015.0,82507000000,2144316000000,0000070858,BAC
2015.0,82507000000,2144316000000,0000070858,BML-PG
2015.0,82507000000,2144316000000,0000070858,BML-PH
2015.0,82507000000,2144316000000,0000070858,BML-PL
2015.0,82507000000,2144316000000,0000070858,BAC-PB
2015.0,82507000000,2144316000000,0000070858,BAC-PK
2015.0,82507000000,2144316000000,0000070858,BML-PJ
2015.0,82507000000,2144316000000,0000070858,BAC-PE
2015.0,82507000000,2144316000000,0000070858,BAC-PL
2015.0,82507000000,2144316000000,0000070858,BAC-PM
2015.0,82507000000,2144316000000,0000070858,MER-PK
2015.0,82507000000,2144316000000,0000070858,BAC-PN
2015.0,82507000000,2144316000000,0000070858,BAC-PO
2015.0,82507000000,2144316000000,0000070858,BAC-PP
2015.0,82507000000,2144316000000,0000070858,BAC-PQ
2015.0,82507000000,2144316000000,0000070858,BAC-PS
2015.0,82507000000,2144316000000,0000070858,BACRP
2016.0,83701000000,2144287000000,0000070858,BAC
2016.0,83701000000,2144287000000,0000070858,BML-PG
2016.0,83701000000,2144287000000,0000070858,BML-PH
2016.0,83701000000,2144287000000,0000070858,BML-PL
2016.0,83701000000,2144287000000,0000070858,BAC-PB
2016.0,83701000000,2144287000000,0000070858,BAC-PK
2016.0,83701000000,2144287000000,0000070858,BML-PJ
2016.0,83701000000,2144287000000,0000070858,BAC-PE
2016.0,83701000000,2144287000000,0000070858,BAC-PL
2016.0,83701000000,2144287000000,0000070858,BAC-PM
2016.0,83701000000,2144287000000,0000070858,MER-PK
2016.0,83701000000,2144287000000,0000070858,BAC-PN
2016.0,83701000000,2144287000000,0000070858,BAC-PO
2016.0,83701000000,2144287000000,0000070858,BAC-PP
2016.0,83701000000,2144287000000,0000070858,BAC-PQ
2016.0,83701000000,2144287000000,0000070858,BAC-PS
2016.0,83701000000,2144287000000,0000070858,BACRP
2017.0,83701000000,2281234000000,0000070858,BAC
2017.0,83701000000,2281234000000,0000070858,BML-PG
2017.0,83701000000,2281234000000,0000070858,BML-PH
2017.0,83701000000,2281234000000,0000070858,BML-PL
2017.0,83701000000,2281234000000,0000070858,BAC-PB
2017.0,83701000000,2281234000000,0000070858,BAC-PK
2017.0,83701000000,2281234000000,0000070858,BML-PJ
2017.0,83701000000,2281234000000,0000070858,BAC-PE
2017.0,83701000000,2281234000000,0000070858,BAC-PL
2017.0,83701000000,2281234000000,0000070858,BAC-PM
2017.0,83701000000,2281234000000,0000070858,MER-PK
2017.0,83701000000,2281234000000,0000070858,BAC-PN
2017.0,83701000000,2281234000000,0000070858,BAC-PO
