year,revenue,assets,CIK,ticker,asset_growth
2012.0,110220000000,2209974000000,0000070858,BML-PH,0.0
2012.0,110220000000,2209974000000,0000070858,BML-PL,0.0
2012.0,110220000000,2209974000000,0000070858,BAC-PB,0.0
2012.0,110220000000,2209974000000,0000070858,BAC-PK,0.0
2012.0,110220000000,2209974000000,0000070858,BML-PJ,0.0
2012.0,110220000000,2209974000000,0000070858,BAC-PE,0.0
2012.0,110220000000,2209974000000,0000070858,BAC-PL,0.0
2012.0,110220000000,2209974000000,0000070858,BAC-PM,0.0
2012.0,110220000000,2209974000000,0000070858,MER-PK,0.0
2012.0,110220000000,2209974000000,0000070858,BAC-PN,0.0
2012.0,110220000000,2209974000000,0000070858,BAC-PO,0.0
2012.0,110220000000,2209974000000,0000070858,BAC-PP,0.0
2012.0,110220000000,2209974000000,0000070858,BAC-PQ,0.0
2012.0,110220000000,2209974000000,0000070858,BAC-PS,0.0
2012.0,110220000000,2209974000000,0000070858,BACRP,0.0
2013.0,88942000000,2102273000000,0000070858,BAC,-0.04873405750474891
2013.0,88942000000,2102273000000,0000070858,BML-PG,0.0
2013.0,88942000000,2102273000000,0000070858,BML-PH,0.0
2013.0,88942000000,2102273000000,0000070858,BML-PL,0.0
2013.0,88942000000,2102273000000,0000070858,BAC-PB,0.0
2013.0,88942000000,2102273000000,0000070858,BAC-PK,0.0
2013.0,88942000000,2102273000000,0000070858,BML-PJ,0.0
2013.0,88942000000,2102273000000,0000070858,BAC-PE,0.0
2013.0,88942000000,2102273000000,0000070858,BAC-PL,0.0
2013.0,88942000000,2102273000000,0000070858,BAC-PM,0.0
2013.0,88942000000,2102273000000,0000070858,MER-PK,0.0
2013.0,88942000000,2102273000000,0000070858,BAC-PN,0.0
2013.0,88942000000,2102273000000,0000070858,BAC-PO,0.0
2013.0,88942000000,2102273000000,0000070858,BAC-PP,0.0
2013.0,88942000000,2102273000000,0000070858,BAC-PQ,0.0
2013.0,88942000000,2102273000000,0000070858,BAC-PS,0.0
2013.0,88942000000,2102273000000,0000070858,BACRP,0.0
2014.0,84247000000,2104534000000,0000070858,BAC,0.0010755025631781212
2014.0,84247000000,2104534000000,0000070858,BML-PG,0.0
2014.0,84247000000,2104534000000,0000070858,BML-PH,0.0
2014.0,84247000000,2104534000000,0000070858,BML-PL,0.0
2014.0,84247000000,2104534000000,0000070858,BAC-PB,0.0
2014.0,84247000000,2104534000000,0000070858,BAC-PK,0.0
2014.0,84247000000,2104534000000,0000070858,BML-PJ,0.0
2014.0,84247000000,2104534000000,0000070858,BAC-PE,0.0
2014.0,84247000000,2104534000000,0000070858,BAC-PL,0.0
2014.0,84247000000,2104534000000,0000070858,BAC-PM,0.0
2014.0,84247000000,2104534000000,0000070858,MER-PK,0.0
